49.8	1.0	0.00000	[-0.012616985085855898, 0.19292789026810803, 0.04204097304471882, -0.28092126973427073]
99.6	1.0	-0.57806	[-0.008758427280493737, 0.3874257198108628, 0.03642254765003341, -0.5600538236392569]
149.4	0.0	-0.35714	[-0.0010099128842764801, 0.19181200052755382, 0.02522147117724827, -0.2561219877862]
199.2	1.0	-0.59275	[0.0028263271262745963, 0.38656494332046193, 0.02009903142152427, -0.5407441654407796]
249.0	0.0	1.00000	[0.010557625992683835, 0.1911663284965235, 0.009284148112708676, -0.24179672535765057]
298.8	0.0	1.00000	[0.014380952562614305, -0.004087002361692571, 0.004448213605555665, 0.05380014889822937]
348.6	0.0	-0.61470	[0.014299212515380454, -0.19927245148360342, 0.005524216583520252, 0.34788319653023997]
398.4	1.0	1.00000	[0.010313763485708385, -0.004229507272668076, 0.012481880514125052, 0.05694735570710846]
448.2	1.0	-0.36285	[0.010229173340255023, 0.1907112714251151, 0.013620827628267222, -0.23177145660969595]
498.0	1.0	-0.60218	[0.014043398768757325, 0.3856359720522948, 0.008985398496073303, -0.5201269856322349]
547.8	0.0	1.00000	[0.02175611820980322, 0.1903886889373209, -0.0014171412165713965, -0.22462621208612804]
597.6	0.0	0.91747	[0.02556389198854964, -0.004712979521276417, -0.005909665458293957, 0.06760935735816626]
647.4	1.0	-0.35714	[0.025469632398124113, 0.19049319779270732, -0.004557478311130632, -0.22693222710258293]
697.2	1.0	-0.61529	[0.02927949635397826, 0.38567998339582465, -0.00909612285318229, -0.5210492588863415]
747.0	0.0	1.00000	[0.03699309602189475, 0.1906872479060565, -0.01951710803090912, -0.23124647900335177]
796.8	0.0	0.99632	[0.040806840980015885, -0.004150458823829445, -0.024142037610976157, 0.055216754556363046]
846.6	0.0	-0.35714	[0.04072383180353929, -0.19891807963508013, -0.023037702519848897, 0.3401859818295125]
896.4	1.0	1.00000	[0.03674547021083769, -0.0034760402697051884, -0.016233982883258648, 0.04032822995984442]
946.2	1.0	-0.44623	[0.03667594940544359, 0.19187489662749865, -0.015427418284061759, -0.2574321451539569]
996.0	0.0	1.00000	[0.04051344733799356, -0.0030234414720240743, -0.020576061187140896, 0.03034509150763759]
1045.8	0.0	-0.58212	[0.040452978508553075, -0.1978443691992651, -0.019969159356988144, 0.31646568851081214]
1095.6	1.0	1.00000	[0.036496091124567774, -0.0024437588136830557, -0.013639845586771901, 0.017552667855206816]
1145.4	1.0	-0.53525	[0.036447215948294115, 0.19287112071957585, -0.013288792229667765, -0.2794023890526301]
1195.2	0.0	1.00000	[0.040304638362685635, -0.0020587656627473194, -0.018876840010720368, 0.009059833678552287]
